Date,Value,Code
12/06/30,924,EGY
12/07/31,1313,EGY
12/08/21,1554,EGY
12/08/27,1567,EGY
12/08/31,1695,EGY
12/09/04,1704,EGY
12/09/11,2099,EGY
12/09/18,2588,EGY
12/09/26,3869,EGY
12/10/01,3767,EGY
12/10/23,5530,EGY
12/10/30,5639,EGY
12/11/07,6097,EGY
12/11/13,6499,EGY
12/11/19,7728,EGY
12/11/27,8125,EGY
12/12/04,8858,EGY
12/12/11,10169,EGY
12/12/16,10474,EGY
12/12/18,10747,EGY
12/12/19,10823,EGY
12/12/22,11098,EGY
12/12/23,11190,EGY
12/12/24,11260,EGY
12/12/26,11280,EGY
12/12/27,11673,EGY
12/12/28,12219,EGY
12/12/29,12836,EGY
12/12/30,12915,EGY
12/12/31,13001,EGY
13/01/02,13059,EGY
13/01/06,13109,EGY
13/01/08,13192,EGY
13/01/09,13292,EGY
13/01/13,13556,EGY
13/01/14,13684,EGY
13/01/17,13874,EGY
13/01/20,13963,EGY
13/01/21,14060,EGY
13/01/22,14156,EGY
13/01/23,14248,EGY
13/01/27,14312,EGY
13/01/28,14375,EGY
13/01/29,14441,EGY
13/01/30,14478,EGY
13/02/02,14801,EGY
13/02/03,14878,EGY
13/02/04,14977,EGY
13/02/05,15057,EGY
13/02/09,16150,EGY
13/02/10,16195,EGY
13/02/11,16244,EGY
13/02/12,16308,EGY
13/02/13,16363,EGY
13/02/14,16910,EGY
13/02/15,17454,EGY
13/02/16,18139,EGY
13/02/17,18170,EGY
13/02/18,18245,EGY
13/02/19,18306,EGY
13/02/20,18404,EGY
13/02/21,18958,EGY
13/02/22,19591,EGY
13/02/24,19689,EGY
13/02/25,20064,EGY
13/02/26,20184,EGY
13/02/27,20292,EGY
13/02/28,20302,EGY
13/03/03,20531,EGY
13/03/05,20665,EGY
13/03/06,20743,EGY
13/03/12,21149,EGY
13/03/13,21442,EGY
13/03/14,21758,EGY
13/03/17,22522,EGY
13/03/19,23284,EGY
13/03/20,23568,EGY
13/03/21,23934,EGY
13/03/24,25604,EGY
13/03/25,26003,EGY
13/03/26,26412,EGY
13/03/27,26891,EGY
13/03/28,27295,EGY
13/03/31,27798,EGY
13/04/01,27857,EGY
13/04/02,28782,EGY
13/04/03,29786,EGY
13/04/04,31459,EGY
13/04/05,32297,EGY
13/04/07,34197,EGY
13/04/08,35054,EGY
13/04/12,36904,EGY
13/04/14,37126,EGY
13/04/15,37361,EGY
13/04/16,37657,EGY
13/04/17,38035,EGY
13/04/18,38416,EGY
13/04/22,38998,EGY
13/04/23,39273,EGY
13/04/30,45032,EGY
13/05/07,46502,EGY
13/05/12,47499,EGY
13/05/13,47927,EGY
13/05/15,48429,EGY
13/05/19,50372,EGY
13/05/20,50784,EGY
13/05/21,51171,EGY
13/05/22,51491,EGY
13/05/23,51917,EGY
13/05/26,52430,EGY
13/05/27,55378,EGY
13/05/28,56060,EGY
13/06/03,57467,EGY
13/06/04,57787,EGY
13/06/09,59885,EGY
13/06/12,62105,EGY
13/06/20,65726,EGY
13/06/23,66692,EGY
13/06/25,68492,EGY
13/06/26,69207,EGY
13/07/08,70140,EGY
13/07/10,71276,EGY
13/07/13,72083,EGY
13/07/15,73547,EGY
13/07/17,75456,EGY
13/07/23,78352,EGY
13/07/28,80603,EGY
13/07/31,83286,EGY
13/08/07,86679,EGY
13/08/13,88105,EGY
13/08/19,89555,EGY
13/08/22,90728,EGY
13/08/26,92260,EGY
13/08/27,93495,EGY
13/08/28,94490,EGY
13/08/29,95578,EGY
13/09/01,96383,EGY
13/09/02,97018,EGY
13/09/16,104703,EGY
13/09/17,105153,EGY
13/09/22,111175,EGY
13/10/02,120548,EGY
13/10/08,122350,EGY
13/10/09,122667,EGY
13/10/10,122794,EGY
13/10/13,123229,EGY
13/10/14,123296,EGY
13/10/17,123239,EGY
13/10/20,123515,EGY
13/10/21,123729,EGY
13/10/22,123949,EGY
13/10/23,124094,EGY
13/10/24,124231,EGY
13/10/27,124340,EGY
13/10/28,124535,EGY
13/10/30,125374,EGY
13/11/03,125631,EGY
13/11/06,125804,EGY
13/11/07,125898,EGY
13/11/10,126166,EGY
13/11/12,126442,EGY
13/11/13,126632,EGY
13/11/14,126770,EGY
13/11/17,127304,EGY
13/11/18,127409,EGY
13/11/19,127495,EGY
13/11/20,127605,EGY
13/11/21,127733,EGY
13/11/24,127876,EGY
13/11/25,127971,EGY
13/11/26,128158,EGY
13/12/03,128843,EGY
13/12/04,128967,EGY
13/12/08,129174,EGY
13/12/09,129289,EGY
13/12/10,129407,EGY
13/12/11,129486,EGY
13/12/12,129618,EGY
13/12/15,130524,EGY
13/12/16,130720,EGY
13/12/17,130841,EGY
13/12/23,131086,EGY
13/12/24,131191,EGY
13/12/26,131316,EGY
13/12/30,131599,EGY
14/01/02,131707,EGY
14/01/09,132238,EGY
14/01/12,132356,EGY
14/01/14,132383,EGY
14/01/19,132415,EGY
14/01/20,132504,EGY
14/01/21,132598,EGY
14/01/22,132670,EGY
14/01/23,132740,EGY
14/01/26,132749,EGY
14/01/27,132799,EGY
14/01/28,132849,EGY
14/01/29,132877,EGY
14/01/30,133023,EGY
14/02/02,133145,EGY
14/02/03,133251,EGY
14/02/04,133267,EGY
14/02/06,133379,EGY
14/02/09,133435,EGY
14/02/10,133529,EGY
14/02/11,133608,EGY
14/02/12,133648,EGY
14/02/13,133727,EGY
14/02/16,133815,EGY
14/02/17,133881,EGY
14/02/18,133924,EGY
14/02/19,134014,EGY
14/02/20,134112,EGY
14/02/23,134255,EGY
14/02/24,134358,EGY
14/02/25,134450,EGY
14/02/26,134534,EGY
14/03/02,134694,EGY
14/03/03,134779,EGY
14/03/04,134823,EGY
14/03/05,134854,EGY
14/03/06,134914,EGY
14/03/10,135031,EGY
14/03/12,135030,EGY
14/03/17,135140,EGY
14/03/19,135289,EGY
14/03/20,135302,EGY
14/03/23,135336,EGY
14/03/24,135378,EGY
14/03/25,135410,EGY
14/03/26,135451,EGY
14/03/27,135499,EGY
14/03/30,135577,EGY
14/03/31,135645,EGY
14/04/01,135684,EGY
14/04/02,135841,EGY
14/04/03,135853,EGY
14/04/06,135905,EGY
14/04/07,135977,EGY
14/04/08,136045,EGY
14/04/09,136094,EGY
14/04/10,136067,EGY
14/04/13,136119,EGY
14/04/14,136236,EGY
14/04/15,136307,EGY
14/04/16,136424,EGY
14/04/17,136375,EGY
14/04/22,136438,EGY
14/04/23,136512,EGY
14/04/27,136624,EGY
14/04/28,136654,EGY
14/04/29,136724,EGY
14/04/30,136807,EGY
14/05/04,136855,EGY
14/05/05,137045,EGY
14/05/06,137063,EGY
14/05/07,137086,EGY
14/05/11,137096,EGY
14/05/12,137123,EGY
14/05/14,137088,EGY
14/05/15,137056,EGY
14/05/19,137430,EGY
14/05/20,137566,EGY
14/05/21,137560,EGY
14/05/22,137515,EGY
14/05/25,137444,EGY
14/05/26,137460,EGY
14/05/28,137454,EGY
14/06/01,137472,EGY
14/06/02,137532,EGY
14/06/03,137539,EGY
14/06/04,137555,EGY
14/06/05,137531,EGY
14/06/09,137632,EGY
14/06/10,137679,EGY
14/06/11,137734,EGY
14/06/15,137788,EGY
14/06/16,137828,EGY
14/06/17,137916,EGY
14/06/18,137919,EGY
14/06/19,137906,EGY
14/06/23,137994,EGY
14/06/25,138086,EGY
14/06/26,138101,EGY
14/06/29,138131,EGY
14/06/30,138151,EGY
14/07/01,138159,EGY
14/07/06,138245,EGY
14/07/08,138290,EGY
14/07/09,138283,EGY
14/07/14,138274,EGY
14/07/15,138289,EGY
14/07/16,138292,EGY
14/07/17,138321,EGY
14/07/20,138306,EGY
14/07/21,138386,EGY
14/07/22,138387,EGY
14/07/23,138407,EGY
14/07/24,138347,EGY
14/08/03,138267,EGY
14/08/04,138310,EGY
14/08/05,138350,EGY
14/08/06,138373,EGY
14/08/10,138457,EGY
14/08/11,138528,EGY
14/08/12,138573,EGY
14/08/13,138616,EGY
14/08/17,138735,EGY
14/08/18,138758,EGY
14/08/19,138805,EGY
14/08/20,138844,EGY
14/08/21,138885,EGY
14/08/24,138936,EGY
14/08/25,138937,EGY
14/08/26,138975,EGY
14/08/27,139040,EGY
14/08/28,139090,EGY
14/08/31,139209,EGY
14/09/01,139253,EGY
14/09/02,139289,EGY
14/09/03,139311,EGY
14/09/04,139333,EGY
14/09/07,139403,EGY
14/09/08,139430,EGY
14/09/09,139462,EGY
14/09/10,139501,EGY
14/09/14,139625,EGY
14/09/15,139657,EGY
14/09/16,139692,EGY
14/09/17,139734,EGY
14/09/18,139775,EGY
14/09/21,139794,EGY
14/09/22,139825,EGY
14/09/23,139821,EGY
14/09/24,139835,EGY
14/09/28,139887,EGY
14/09/29,139908,EGY
14/09/30,139936,EGY
14/10/01,139930,EGY
14/10/02,139929,EGY
14/10/07,139942,EGY
14/10/08,139922,EGY
14/10/09,139954,EGY
14/10/12,140026,EGY
14/10/13,140024,EGY
14/10/14,140023,EGY
14/10/20,140100,EGY
14/10/21,140133,EGY
14/10/22,140130,EGY
14/11/10,140247,EGY
14/10/28,140273,EGY
14/10/30,140289,EGY
14/11/02,140115,EGY
14/11/03,140105,EGY
14/11/05,140103,EGY
14/11/06,140104,EGY
14/11/09,140221,EGY
14/11/12,140240,EGY
14/11/13,140259,EGY
14/11/17,140406,EGY
14/11/23,140649,EGY
14/11/25,138543,EGY
14/12/01,137504,EGY
14/12/10,137671,EGY
14/12/16,137812,EGY
14/12/31,138212,EGY
15/01/12,136717,EGY
15/02/02,136661,EGY
15/03/17,133516,EGY
15/03/22,133619,EGY
15/04/14,133862,EGY
15/05/06,134329,EGY
15/07/05,132375,EGY
15/09/30,128019,EGY
15/10/31,127681,EGY
15/11/30,123585,EGY
15/12/31,117658,EGY
16/01/31,118512,EGY
16/02/29,119301,EGY
12/01/31,8,IRQ
12/02/29,180,IRQ
12/03/31,335,IRQ
12/04/25,2329,IRQ
12/05/02,2970,IRQ
12/05/09,3171,IRQ
12/05/17,3673,IRQ
12/05/24,4038,IRQ
12/05/31,4413,IRQ
12/06/05,4549,IRQ
12/06/14,4941,IRQ
12/06/21,5258,IRQ
12/06/26,5839,IRQ
12/07/06,6163,IRQ
12/07/10,6545,IRQ
12/07/11,6547,IRQ
12/07/20,7490,IRQ
12/07/25,8445,IRQ
12/08/08,9053,IRQ
12/08/10,9773,IRQ
12/08/17,10734,IRQ
12/08/25,15898,IRQ
12/08/31,18682,IRQ
12/09/07,21744,IRQ
12/09/10,22563,IRQ
12/09/12,24464,IRQ
12/09/13,25508,IRQ
12/09/20,25976,IRQ
12/09/21,29441,IRQ
12/09/28,33704,IRQ
12/10/05,36500,IRQ
12/10/12,39036,IRQ
12/10/16,40911,IRQ
12/10/19,41955,IRQ
12/10/24,43813,IRQ
12/10/31,45781,IRQ
12/11/05,47522,IRQ
12/11/06,48322,IRQ
12/11/07,48963,IRQ
12/11/12,51142,IRQ
12/11/18,54106,IRQ
12/11/21,56913,IRQ
12/11/26,58814,IRQ
12/11/28,60224,IRQ
12/12/02,62065,IRQ
12/12/05,63402,IRQ
12/12/09,64355,IRQ
12/12/10,64679,IRQ
12/12/11,65010,IRQ
12/12/12,65433,IRQ
12/12/16,65954,IRQ
12/12/18,66335,IRQ
12/12/19,66437,IRQ
12/12/23,66807,IRQ
12/12/24,66714,IRQ
12/12/26,66920,IRQ
12/12/30,67306,IRQ
12/12/31,67625,IRQ
13/01/03,67958,IRQ
13/01/05,68244,IRQ
13/01/06,68550,IRQ
13/01/07,68953,IRQ
13/01/08,69187,IRQ
13/01/09,69302,IRQ
13/01/10,69771,IRQ
13/01/12,69733,IRQ
13/01/13,70440,IRQ
13/01/15,72385,IRQ
13/01/16,73055,IRQ
13/01/17,73049,IRQ
13/01/20,74781,IRQ
13/01/21,75780,IRQ
13/01/22,76579,IRQ
13/01/23,77304,IRQ
13/01/28,79358,IRQ
13/01/30,80919,IRQ
13/02/03,82460,IRQ
13/02/04,83199,IRQ
13/02/05,83843,IRQ
13/02/06,84737,IRQ
13/02/10,87057,IRQ
13/02/11,88028,IRQ
13/02/12,89237,IRQ
13/02/13,90334,IRQ
13/02/17,92408,IRQ
13/02/18,93576,IRQ
13/02/19,94873,IRQ
13/02/20,96097,IRQ
13/02/25,100049,IRQ
13/02/27,102649,IRQ
13/03/03,105431,IRQ
13/03/05,107271,IRQ
13/03/09,109800,IRQ
13/03/10,110663,IRQ
13/03/12,112945,IRQ
13/03/13,114235,IRQ
13/03/17,115648,IRQ
13/03/18,116875,IRQ
13/03/20,117906,IRQ
13/03/23,117851,IRQ
13/03/24,118213,IRQ
13/03/25,119363,IRQ
13/03/26,120369,IRQ
13/03/27,121320,IRQ
13/04/01,124253,IRQ
13/04/02,125385,IRQ
13/04/03,125864,IRQ
13/04/06,126440,IRQ
13/04/07,127136,IRQ
13/04/09,127775,IRQ
13/04/10,128845,IRQ
13/04/11,129590,IRQ
13/04/13,129362,IRQ
13/04/14,130379,IRQ
13/04/15,131551,IRQ
13/04/16,132693,IRQ
13/04/17,132870,IRQ
13/04/18,133887,IRQ
13/04/20,133840,IRQ
13/04/21,134915,IRQ
13/04/22,135842,IRQ
13/04/23,136914,IRQ
13/04/24,137657,IRQ
13/04/29,140172,IRQ
13/04/30,140873,IRQ
13/05/02,141702,IRQ
13/05/05,142395,IRQ
13/05/06,143177,IRQ
13/05/07,144016,IRQ
13/05/08,144586,IRQ
13/05/09,144996,IRQ
13/05/12,145761,IRQ
13/05/13,146419,IRQ
13/05/14,146951,IRQ
13/05/15,147464,IRQ
13/05/16,148155,IRQ
13/05/18,148117,IRQ
13/05/20,151195,IRQ
13/05/21,151970,IRQ
13/05/22,151966,IRQ
13/05/23,152885,IRQ
13/05/26,153355,IRQ
13/05/27,153675,IRQ
13/05/28,153976,IRQ
13/05/29,154223,IRQ
13/05/30,154372,IRQ
13/06/03,154932,IRQ
13/06/04,155139,IRQ
13/06/06,158458,IRQ
13/06/09,158669,IRQ
13/06/10,158866,IRQ
13/06/11,159017,IRQ
13/06/12,159196,IRQ
13/06/13,159393,IRQ
13/06/17,158573,IRQ
13/06/18,158663,IRQ
13/06/20,158780,IRQ
13/06/23,158940,IRQ
13/06/24,159059,IRQ
13/06/25,159140,IRQ
13/06/26,159286,IRQ
13/06/30,159384,IRQ
13/07/01,159465,IRQ
13/07/03,159773,IRQ
13/07/04,159784,IRQ
13/07/07,160149,IRQ
13/07/08,160365,IRQ
13/07/09,160632,IRQ
13/07/11,160789,IRQ
13/07/15,161264,IRQ
13/07/16,161476,IRQ
13/07/17,161652,IRQ
13/07/18,161307,IRQ
13/07/21,161697,IRQ
13/07/22,162082,IRQ
13/07/23,159792,IRQ
13/07/25,160129,IRQ
13/07/28,160335,IRQ
13/08/01,160351,IRQ
13/08/04,160682,IRQ
13/08/05,160997,IRQ
13/08/06,154595,IRQ
13/08/12,154658,IRQ
13/08/13,154935,IRQ
13/08/24,154944,IRQ
13/08/25,156149,IRQ
13/08/29,157790,IRQ
13/09/01,158461,IRQ
13/09/16,161500,IRQ
13/09/18,162025,IRQ
13/09/19,162317,IRQ
13/09/23,161868,IRQ
13/09/24,162136,IRQ
13/09/26,163002,IRQ
13/09/29,163371,IRQ
13/09/30,163385,IRQ
13/10/01,163988,IRQ
13/10/02,164398,IRQ
13/10/03,163569,IRQ
13/10/06,164009,IRQ
13/10/07,163489,IRQ
13/10/08,163966,IRQ
13/10/09,164387,IRQ
13/10/10,164770,IRQ
13/10/13,164944,IRQ
13/10/20,165402,IRQ
13/10/21,165686,IRQ
13/10/22,165945,IRQ
13/11/05,199986,IRQ
13/11/10,201296,IRQ
13/11/12,202040,IRQ
13/11/17,202976,IRQ
13/11/20,206632,IRQ
13/11/26,207473,IRQ
13/11/27,208054,IRQ
13/12/02,206212,IRQ
13/12/04,207121,IRQ
13/12/12,209460,IRQ
13/12/18,210612,IRQ
14/01/06,213223,IRQ
14/01/22,216271,IRQ
14/01/27,217144,IRQ
14/02/05,222745,IRQ
14/02/10,222574,IRQ
14/02/23,224539,IRQ
14/02/28,225548,IRQ
14/03/05,226934,IRQ
14/03/23,221791,IRQ
14/03/30,219579,IRQ
14/04/15,221316,IRQ
14/04/30,223113,IRQ
14/05/15,225409,IRQ
14/06/15,225475,IRQ
14/06/30,220210,IRQ
14/07/15,217192,IRQ
14/07/31,218040,IRQ
14/08/15,217886,IRQ
14/08/26,215369,IRQ
14/09/02,214935,IRQ
14/09/15,214372,IRQ
14/09/30,215387,IRQ
14/10/15,219446,IRQ
14/10/21,222468,IRQ
14/10/31,223923,IRQ
14/11/15,227191,IRQ
14/11/30,228484,IRQ
14/12/15,231843,IRQ
14/12/31,233625,IRQ
15/01/15,235563,IRQ
15/01/31,238688,IRQ
15/02/15,242468,IRQ
15/02/28,244731,IRQ
15/03/15,246836,IRQ
15/03/31,247861,IRQ
15/05/05,248367,IRQ
15/05/15,248203,IRQ
15/05/31,249266,IRQ
15/06/15,249566,IRQ
15/06/30,249726,IRQ
15/07/15,251499,IRQ
15/07/31,251690,IRQ
15/08/15,250408,IRQ
15/08/29,249463,IRQ
15/09/13,248503,IRQ
15/09/28,247352,IRQ
15/10/15,245585,IRQ
15/10/27,245134,IRQ
15/11/15,244765,IRQ
15/11/28,244527,IRQ
15/12/31,244642,IRQ
16/01/15,245022,IRQ
16/02/15,245543,IRQ
16/02/29,246051,IRQ
12/01/19,2749,JOR
12/01/24,2886,JOR
12/01/31,3063,JOR
12/02/14,4013,JOR
12/03/01,4205,JOR
12/03/15,5391,JOR
12/03/22,5886,JOR
12/03/31,6529,JOR
12/04/16,9500,JOR
12/04/21,10189,JOR
12/04/23,11748,JOR
12/04/25,12034,JOR
12/04/30,13854,JOR
12/05/01,13938,JOR
12/05/03,14252,JOR
12/05/06,14578,JOR
12/05/07,15108,JOR
12/05/08,15344,JOR
12/05/09,15698,JOR
12/05/14,16919,JOR
12/05/16,17556,JOR
12/05/20,18521,JOR
12/05/21,19011,JOR
12/05/23,19883,JOR
12/05/27,20576,JOR
12/05/28,20982,JOR
12/05/29,21432,JOR
12/05/30,21778,JOR
12/06/05,22643,JOR
12/06/07,22976,JOR
12/06/10,23757,JOR
12/06/11,24151,JOR
12/06/21,26371,JOR
12/06/24,26731,JOR
12/06/25,26941,JOR
12/06/26,27344,JOR
12/07/03,28934,JOR
12/07/10,31047,JOR
12/07/11,31299,JOR
12/07/12,31873,JOR
12/07/15,32262,JOR
12/07/16,32841,JOR
12/07/19,34499,JOR
12/07/22,34736,JOR
12/07/24,35911,JOR
12/07/25,36323,JOR
12/07/26,36600,JOR
12/07/29,36824,JOR
12/08/01,37615,JOR
12/08/02,37448,JOR
12/08/07,39600,JOR
12/08/15,42720,JOR
12/08/16,42934,JOR
12/08/23,43962,JOR
12/08/26,44440,JOR
12/08/27,44924,JOR
12/08/28,45287,JOR
12/08/29,45751,JOR
12/08/30,46111,JOR
12/09/02,46703,JOR
12/09/03,47121,JOR
12/09/05,48014,JOR
12/09/06,48315,JOR
12/09/09,48839,JOR
12/09/10,49236,JOR
12/09/16,50689,JOR
12/09/18,51417,JOR
12/09/19,51962,JOR
12/09/20,52352,JOR
12/09/23,52634,JOR
12/09/24,52866,JOR
12/09/25,53299,JOR
12/09/27,53833,JOR
12/09/30,54448,JOR
12/10/02,55121,JOR
12/10/03,55462,JOR
12/10/10,57092,JOR
12/10/11,57379,JOR
12/10/16,58005,JOR
12/10/17,58320,JOR
12/10/21,58622,JOR
12/10/23,59524,JOR
12/10/24,60089,JOR
12/11/01,60630,JOR
12/11/05,61086,JOR
12/11/06,61356,JOR
12/11/08,62099,JOR
12/11/11,62248,JOR
12/11/12,87167,JOR
12/11/14,88026,JOR
12/11/18,91064,JOR
12/11/22,93497,JOR
12/11/23,93990,JOR
12/11/25,94492,JOR
